Date,Open,High,Low,Close
08-10-2018,208,222.25,206.85,215.15
05-10-2018,217,218.6,205.9,209.2
04-10-2018,223.5,227.8,216.15,218.2
03-10-2018,230,237.5,225.75,227.6
01-10-2018,234.55,234.6,221.05,230.9
28-09-2018,234.05,235.95,230.2,233.75
27-09-2018,234.55,236.8,231.1,233.25
26-09-2018,240,240,232.5,234.25
25-09-2018,233.3,236.75,232,236.1
24-09-2018,233.55,239.2,230.75,233.3
21-09-2018,235,237,227.95,234.6
19-09-2018,235.95,237.2,233.45,234.9
18-09-2018,237.9,239.25,233.5,235.05
17-09-2018,233.15,238,230.25,236.6
14-09-2018,223.45,236.7,223.3,233.95
12-09-2018,216.35,223.7,212.65,222.65
11-09-2018,222.5,225.4,214.85,216
10-09-2018,222.5,235.15,220.65,222
07-09-2018,221,224.5,219.1,222.95
06-09-2018,224,225,218.2,221.05
05-09-2018,222,224.6,215.2,222.4
04-09-2018,238.2,238.2,222.6,223.7
03-09-2018,236,243.55,235.05,236.7
31-08-2018,237,239.75,232.95,234.3
30-08-2018,235.35,237.3,232.1,236
29-08-2018,233.85,237.7,232.7,234.55
28-08-2018,237,239.3,231.3,233.35
27-08-2018,231.8,239.35,231.05,237.05
24-08-2018,234.5,237.2,230.2,231
23-08-2018,240.3,240.6,233.1,235.45
21-08-2018,246.9,246.9,239.25,240.55
20-08-2018,244,247,243,245.15
17-08-2018,240.8,244.5,239.2,243
16-08-2018,236.05,242,235.95,239.35
14-08-2018,235,238.5,235,237.55
13-08-2018,233,236.45,232.25,234.55
10-08-2018,237.3,237.95,231.1,233.55
09-08-2018,236.65,239.85,235.3,237.3
08-08-2018,237.25,240.5,235.05,236.35
07-08-2018,241,241.55,235.3,237.6
06-08-2018,235.15,240.45,234.15,239.5
03-08-2018,236,239,232,234.65
02-08-2018,232.5,238.05,230.4,235.45
01-08-2018,248.7,254.95,234.35,235.65
31-07-2018,243.4,249.65,241.5,246.9
30-07-2018,243.7,247,240.9,242.2
27-07-2018,241,243.95,239.15,242.25
26-07-2018,235.9,242.95,234.5,239.1
25-07-2018,248.5,248.5,235.8,236.9
24-07-2018,244,249.2,241.9,246.3
23-07-2018,238.9,244.25,235.25,243.3
20-07-2018,231.25,240.95,231.25,238.6
19-07-2018,239.7,243.3,228.6,233.1
18-07-2018,248.4,249.6,232.7,238.65
17-07-2018,241.55,251.85,240.3,247.9
16-07-2018,257.9,257.9,242.1,243.25
13-07-2018,265,265.75,257.55,258.9
12-07-2018,270.4,272.45,264.35,265.2
11-07-2018,274.8,275.45,267.45,269.8
10-07-2018,275.9,277.8,272.55,274.75
09-07-2018,268.25,276.2,267,275.25
06-07-2018,269.8,273.25,265.7,266.3
05-07-2018,277.45,282.4,270,271.25
04-07-2018,281,281,275.35,277.3
03-07-2018,264.5,284.5,262.7,281
02-07-2018,271,273.1,263.25,264.45
29-06-2018,262.7,270.15,262.7,269.35
28-06-2018,263,268.25,261.45,263.95
27-06-2018,265.1,268.4,261.2,265.6
26-06-2018,264.8,269.7,263.3,267.35
25-06-2018,260.1,266.95,260.1,264.5
22-06-2018,257.9,263.55,256.45,262.1
